geoid,name,population,value,percentile,numerator,denominator,se
96002,96002,34196,-0.128696518,0.412033511,,,
96032,96032,2653,-0.32653882,0.274942879,,,
95688,95688,37260,0.219384631,0.640517898,,,
95620,95620,21954,0.098132735,0.567402894,,,
94954,94954,38763,0.502667375,0.823305407,,,
95404,95404,40497,0.335010888,0.710586443,,,
95401,95401,38839,0.125357678,0.581873572,,,
95328,95328,4480,-0.491397826,0.184310739,,,
95358,95358,32524,-0.547565071,0.157654227,,,
96080,96080,29139,-0.398443731,0.234577304,,,
96093,96093,3570,-0.114045564,0.422696116,,,
95327,95327,7918,-0.25549643,0.322162986,,,
95310,95310,1874,-0.325134104,0.276466108,,,
93063,93063,56458,0.383427702,0.73800457,,,
95961,95961,28489,-0.415686993,0.223153085,,,
95918,95918,2915,0.017767958,0.512566641,,,
94708,94708,11394,1.253620409,0.996191927,,,
94555,94555,38478,0.698686176,0.913175933,,,
95377,95377,32091,0.327922964,0.70677837,,,
94607,94607,26823,0.044854676,0.528560548,,,
94611,94611,38975,1.028272338,0.979436405,,,
94621,94621,35035,-0.67290101,0.103579589,,,
94608,94608,31013,0.482575368,0.810357959,,,
95954,95954,12371,-0.255173902,0.323686215,,,
94517,94517,13687,0.850012415,0.953541508,,,
94563,94563,19644,1.2259619,0.993145468,,,
94518,94518,28734,0.457505258,0.790555979,,,
94805,94805,14188,0.477912155,0.805026657,,,
94520,94520,38753,-0.062020847,0.460015232,,,
95664,95664,1603,0.286112737,0.677837014,,,
95614,95614,4359,0.258995797,0.661081493,,,
95762,95762,43052,0.685140931,0.905559787,,,
95682,95682,30314,0.326691804,0.706016756,,,
95619,95619,5718,0.042419017,0.527037319,,,
93725,93725,27214,-0.674429578,0.102056359,,,
93705,93705,36808,-0.716564682,0.089870526,,,
93702,93702,43601,-1.183413575,0.010662605,,,
93704,93704,29740,-0.260020618,0.317593298,,,
93726,93726,42824,-0.685514305,0.099771516,,,
93723,93723,13936,-0.394255983,0.236100533,,,
95501,95501,23324,-0.143582098,0.398324448,,,
92281,92281,2591,-0.820884028,0.060167555,,,
92275,92275,2632,-0.971339185,0.033511043,,,
93545,93545,1821,-0.036690811,0.479817212,,,
93314,93314,28963,0.103822368,0.571972582,,,
93249,93249,1875,-1.013228695,0.025894897,,,
95451,95451,11603,-0.160988346,0.385376999,,,
96114,96114,3267,-0.159666444,0.386138614,,,
91605,91605,53113,-0.483711251,0.188880427,,,
91367,91367,45970,0.29813377,0.687738005,,,
93534,93534,39367,-0.806744146,0.065498858,,,
93532,93532,2683,-0.21629213,0.350342727,,,
93552,93552,39905,-0.432239116,0.214013709,,,
90810,90810,37251,-0.356573945,0.261233816,,,
90650,90650,105304,-0.226384653,0.34272658,,,
91748,91748,47079,-0.139347099,0.40365575,,,
91724,91724,26717,0.018526563,0.513328256,,,
